,Negativity,Sentences
82,1,fresh prince and sleepy sleep my nightly routine gotta go to dmv early tmrw
83,1,dammit hulu desktop ha totally screwed up my ability to talk to a particular port on one of our dev server so i can't watch and code
84,1,i am jealous of your mom talking to i want to see you all our twittering is making me miss you
85,1,i can't sleep i keep thinking about the puppy i played with today
86,1,i'm suppposed to be sleep but i got some much to do amp i got that one part of the song stuck in my head quot your a jerk iknow quot blaahh
87,0,what's going on sweetheart
88,0,how can it be so freaking difficult to get a system wide spellchecker shit i'd settle for an office suite one stupid unhelpful window
89,1,last one month due to summer strawberry is not availble in the chennai market
90,0,work at am gotta go to bed soon
91,0,correct i adore him i just plucked him up and put him under my arm cuz he wa cryin all better now hahaha
92,1,hiii im on my ipod i cant fall asleep
93,1,dont wanna work tomorrow but i get paid
94,1,feel sad coz i wasnt able to play with the guy
95,0,princecharming
96,1,cayogial i wanted to come to bz this summer not so sure anymore a teacher's life in the summer suck
97,1,first ever dropped call on my mobile on a call to no le being charged for data even though i have a data pack
98,1,you win sigh rakeem
99,0,oh is that time for real
100,1,darn these allergy i don't like this time of year because of this i never used to have this problem either
101,1,oh no one minute too late oh well
102,1,damn that suck
103,1,i wanted to come to bz this summer not so sure anymore a teacher's life in the summer suck
104,1,this website gave me a virus when i opened it more window kept popping up
105,1,ahh big scary bug flying around my room
106,1,i wish she knew what she put me through she stole my heart never gave it back and occasionally she like to be like look what i have
107,1,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
108,0,that wa stone cold crazy
109,0,i'm so tired
110,0,shift time bbye biochem waaaaahhhhhh
111,0,i'm sure some will cum out and play i'm workin through til midnight
112,0,i second that i wish it rained more where i am
113,1,early happy day of birth in case i don't make it very tired from therapy today n just taking my medicine misshu love ya
114,0,damn it were is eric or anyone else when you need your hair to be played with
115,0,i'm feel deflated ugh no more dog
116,1,allergy suck duck nut lt gt
117,0,well it almost wa a good day guess i just retry tomorrow
118,1,waraku is tasteless and expensive portion is so little re waraku
119,0,sound good appreciate the suggestion been a week now and we're still offline time to ask for a refund
120,1,he died wait what about magic jack i just read it
121,1,youstinkatrespondingtotexts
122,1,wonder why her karma point turned into
123,0,need to pack for cali cali cannot waittt thinking a glass of wine is in order to celebrate my weekend vaca still work morrow tho
124,1,is miserable i feel like im gona cry sux
125,0,well i ran out of beer so i left not sure about the eta waiting waiting waiting bleh gonna be a long nite methinks
126,1,my nose stud fell out and i can't find it look like i'll have to head into amsterdam today and get a new one
127,0,claire love the show got into the office am and no radio
128,0,pat in philly at am i love it mmm cheesesteak miss my boyfriend but i love vacation
129,1,sigh i'm going to bed i just don't feel right anymore
130,0,what i focused on tom so much i didn't see my beloved barack oh no i must vote for both poor president only ha vote
131,0,epicentre wheelock place tourist only
132,1,now i am depressed after watching so you think you can dance
133,1,just cross 'cause i'm stuck twiddling my thumb now ugh
134,0,miss 'th
135,0,i know but like i said i have no idea how long it take for them to investigate this stuff
136,1,i cant sleep but im too sore to move
137,0,awe i miss my baby
138,0,what is it with chocolate i just can never say no
139,1,achieving a new appreciation on how a xml build script can really be painful and cumbersome
140,0,i'm too awake now ill have a nap this afternoon
141,1,i cant do anything
142,0,still need another hour of sleep
143,0,i'm at work
144,0,rip leonardo you were a great mini fiddler crab
145,0,morning tweeple way to early again
146,1,last day working for the uni today sad time
147,0,thanks neemah i'm gonna be soooo close to you and izzy yet so far
148,1,my head hurt so bad i could scream
149,1,i just go up and im so tired and my airmatras is broken somewhere and now im in even more pain
150,1,new work wellness challenge not going well i committed to not check email between pm and am failed on first day twice
151,1,new blog post blog auto insuran i just found that my auto insurance policy had been expired i am too careless meanw
152,0,where are all ma bestfriends at mia or wat
153,1,oh men i really can't see my face c'mon guy
154,1,i'm showing my age renewed my tag last week went down got my insurance renewal email today went down i don't wanna be old
155,1,my sole supporter is not my sole supporter
156,1,don't you hate it when you finish all your work and there's still hour left of work time
157,1,urgh stop it guy
158,1,is still missing her husband i really want him home
159,1,i miss my puppy
160,0,day of this month left and i only have mb left on my onpeak downloads
161,0,up is out i didn't get the memo it look amazing
162,1,i've given up on pizza kid would never let me have my fav the hot one
163,1,up reading tabloid about other people's life thinking what i'm gonna do with mine when my baby leaf
164,1,yearling in pet home died very sad for their whole family
165,0,fun in the sun hmmm hell no it's cold
166,1,i got a giant splinter stuck up underneath my finger nail today at muppets it hurt but i got to go to first aid for the first time
167,1,we hate change so of course we're fan for life lt oh and if we haven't met rob by then something went horribly wrong
168,1,is feeling sad for some reason
169,1,well fuck this new pain med ha an odd warning that actually applies to me i can't take this chan is displeased
170,1,just uploaded my new blog a painful story about an s year old man who cried because he wanted to die very sad
171,0,i don't think so i want detail
172,0,hi who is mary poppins
173,1,it so addicting but it kind of a curse to do them at night time everytime i do one i feel like making music afterwards
174,0,my last tweet didn't send bad phone
175,0,omg ur alive lol day ha gone sooo slow i'm going insane grrr you doing anything tonight
176,0,i wa watching parental control
177,0,did you get them from california vintage ahahah they have the best dress i want them but i dont have ebay
178,1,i just saw pic from this past thanksgiving and am sad because grandma wa in them
179,1,it wont let me
180,1,took a shift tomorrow i don't really feel like working right now
181,1,but now i have no money for a phone
182,1,spent last night in a amp e er wife tangled wheel with daughter amp hit the deck dislocation amp fracture resulted
183,1,day i'm about ready to visit torchwood and see if they've heard anything
184,0,where are you in bris i can't hear any thunder
185,0,bec v fat food winner fat food but not this weeknend ill beat it
186,1,too bad the red devil disappointing to say the least
187,0,i had a dream about a pretty pretty beach and there wa no beach when i woke up
188,1,have a ware se not fast enough for x x m ssd raid mhz iop on the hpt might try an adaptec ghz
189,0,when da heck will the garage man get here i ask you when
190,1,ate mandy please forgive me i really am sorry i don't wanna lose my bff
191,1,umm yeah that's probably a pretty good note to self because eeeeeewwwwwwww
192,1,why are plane ticket so expensive
193,0,wendyisastar umm yeah that's probably a pretty good note to self because eeeeeewwwwwwww
194,1,need a job badly
195,1,daaammmnnnnn i do wish i wa there
196,1,went to di bella coffee roaster today and asked for a job the person i needed to speak to is on holiday fb
197,1,i played up until the latter part of the voodoo village part co op until i lost my usual partner
198,1,is a bad friend
199,0,happy birthdayyy hope you have an awesome day didn't see you at next last night
200,1,im doing that shit right now im on vacation and you got me workin
201,0,ill be over in an oir
202,0,guess it a no go girlie i'm still at the gym and work at am
203,1,would wish the severe migrains would stop doc's prescription arent working
204,0,i missed the game
205,1,no internet last night er wa brill there wa a massive explosion at the end of a nearby gas work er on standby
206,1,cuz airline are super lame
207,1,still a pity it come with no lamb though
208,1,i'm sorry to hear that here is my optimist thing will get better for all of u
209,0,is done painting all the bedroom furniture i still have to do the table but it will wait until after the move uggh moving in the heat
210,1,i'm so very tired and have insomnia
211,0,a hungry fool ill probably never see that krispy kreme again had to enjoy it they closing down
212,0,airport and you didnt show up tonight homo
213,1,i hate bakersfield and i hate the port let me go home already i want to start my vacation
214,0,what about me
215,0,looking for desktop twitter app that will actually let you access url any suggestion i liked twittle but no linking
216,1,people in my house do not know how to close door
217,0,why am i completing facebook quiz at this time of the morning especially a friday morning
218,0,out with amp i am soooo hungry
219,1,i don't like the possibility of the left side of my brain hurting because of the thing called a vp shunt and possible death
220,1,had to cancel wow for now
221,1,want to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio
222,1,but yeah i'm sad about my quot ravenclaw quot account i love that account to bit
223,1,it's am and i hear a helicopter flying over my house that's kind of weird in other news my headache is back booooo
224,1,oh no i am always here lt
225,0,back from school m suhana's last day a our ft ocu wa okay i'm playing altnoy over and over again
226,0,poll wa trying to get it to work in a powerpoint to no avail
227,0,took a math test today the day before the test the teacher say bring your calculator luke wa confident teacher decided no calcs
228,0,omg the concert wa awesome madrigal gave me chill on almost every piece brook also called up alumnus but i didnt get to go
229,0,yeah it's terrible cockatoo are the hardest to live with so emotional good thing he found you though
230,1,up late with nothin do
231,1,i think the vog is making me sicker than i think feeling slightly achy
232,1,i am doing homework it sux big time math is the worst
233,0,would have been better imo if it let you play through all song provided i just start to quot get it quot and it black out
234,0,wordsaftersex it never started
235,1,sometimes i wish thing could go back to the way they were the beginning of last summer
236,1,i downloaded the new twitterfon update thinking they were fixing the typing problem for new tweet but no they didn't
237,1,i feel the same way but i guess no matter where you are there will always be meme
238,0,i can t do minute of treadmill but done minute for today already gonna do minute more
239,1,i'm sooooooooooooo confused
240,0,with friend like vaiko nedumaran ltte didn't need enemy wrong advice at wrong time led to numerous death amp a lost cause a well
241,1,work day of
242,0,chillin with the roomy can't wait for the zombie clwn cr it gonna be week
243,0,i looove guitar and playing them i think they sound magnificent if only i wa better if only
244,1,no refund but they do retrieve account take like a week just hoping the thief doesn't use hack or then it's permaban
245,0,no im not cry lol
246,1,cute malay girl came to seemy room for rent sadly think it wa for her guyfreind bit misleading and disappointing lol
247,0,epicentre wheelock place unit amp for tourist only starting today
248,1,i hate the new mt dew commercial the one with a giant mosquito it scare me and gross me out all at the same time
249,0,come on knight it's been well over hour
250,1,not super keen on the drive home through the rain additional concentration required that i don't really wanna deal with
251,0,aw u can't let me in on the secret
252,0,im sorry i don't think i stick out at least compared to what i used to look like
253,1,no transport for church wont be making it im crushed oh well more time for assignment i suppose my throat really hurt
254,1,i hate when i see pregnant woman smokinggg it sooo irresponsible n selfish it saaad ultimately the baby is the one who suffers
255,1,lie lie lie you just cant avoid to lie about practically everything
256,0,twittascope is not rocking my sock go away already
257,0,driving back home because i forgot the piece of cake for
258,1,so i tried jumping without the trampoline and it like thud thud shouldn't have eaten that cookie
259,1,everytime i send an email to my coach i feel a need to practice shitty ball lol
260,1,it's pissing me off and not letting me follow ericka
261,1,is going to sleep not peaceful wanted to hear him say good night but that didn't happen good night everyone
262,1,my mum trying to make me feel ebtter about stopping voting adn not winning shortstack i almost cried
263,0,i wa so close to the taco one spot too late
264,0,is thinking so much and i'm at work
265,1,i have forgot the live with the jonas brother on facebook
266,1,i haven't seen muffin in two whole day
267,1,i'll miss y'all back give my regard
268,0,my gap year is going so quick
269,1,i have to admit i'm a bit bummed out that i wasn't with my friend walking today
270,0,girl a blunt is soooooooo in my thought right now i had an absolutly great day with a few stressor come home
271,1,my twitter ha been hacked again
272,1,just found mj mouse flat at dj of course there are none left in my size
273,0,i wont have time to buy and i need a new binder pa
274,1,hahaha well it try it so ugly
275,0,man ulduar is hard
276,1,i don't even want to know why you know about vhemt but don't go we'd miss you
277,0,that's awesome we have that this weekend too but i can't go because i'm moving this sat i should be a lot of fun though
278,0,night night twitter world still cant believe the thomas thing tomorrow's gunna be fun sad
279,0,this is happening to me too
280,0,oh no hug
281,0,bored now because i wa talking to someone but now they're busy with something else just kinda a bummer idk
282,1,i knoww thing won't be the samee lt
283,1,omg ness it's pm and i need to beup early to set up my garage sale it start a am wish i said am i'm beat
284,0,i kno i doooo yall partyin with out me
285,1,okay so twitter suddenly changed how do i respond to message now
286,0,ugh my dad just told me to read an article about kavya shivashankar the spellin bee girl and be more like her
287,1,decided that no matter how good my hair look curly it doesn't justify the burn i get from the curler my hand covered i suck at it
288,1,going to sleep gonna fall asleep playing apps again tmrw is going to suck
289,0,yea i gotta be up at
290,1,i hate when my bf beat da dog but i guess that the only way to teach these pitt
291,1,sprained my ankle like really badly and tore some stuff it hurt and it my birthday weekend
292,1,i can't believe the metal gear solid song wa stolen i'm so disappointed
293,1,think i may have broke a toe at the bar tonight thanks drunk girl for steppin all over me
294,0,not one sale done today at work explored balcony in the big theater w coworkers a fun day but void of chili fry and tip
295,1,i wish i had left dead but first i'd need something to play it on
296,0,me too
297,0,that story reminds of living in portugal
298,0,youre diabetic so is my dad amp i might be too not sure are you still allowed to eat sugar throughout the day
299,0,i spilled my beer all over my leg wasted half my beer home now i met a cute girl good conversation
300,1,my roommate love to ignore me
301,0,i'll make him nacho tomorrow better than if he would have made them himself
302,0,yeahhh amp dont judge my pillow
303,0,scary lightning and thunder i'm glad it's over now going to sleep i hope i'm not late to school tomorow again haha
304,1,my teeth and head hurt
305,1,i hate rob zombie movie amp the smell of weed vommmm
306,1,math and science were the strongest for me i think dunno bout geography only did like day of study for a year of work
307,0,waiting in line tryst
308,1,hope i get a job cuz we need an apartment i'm drunk amp miss my lil punkin tehe
309,1,just got home not wanting to read the last chaper of breaking dawn cause i dont want it to beover
310,1,i need to be held gnite
311,1,hanging out with sam billy and veronica not going to school tomorrow to take sam to body shop dang car accident
312,1,no more arrested development i am sad
313,0,wicked what time you leaving how come you cant stay the night
314,1,omg i keep losing follower this is so sad i want one day thats my goal d
315,1,i feel so deflated no more doggy
316,1,i wanna see her hair hows everyone
317,1,i just had to empty my trash on the mac that wa one of the most difficult thing i have ever done in my life picture are gone
318,1,im contacting paw philippine so i can find quot tiger quot a new owner im so sad i love my dog soo much
319,1,just got home not wanting to read the last chaper of breaking dawn cause i dont want it to be over
320,1,aww pray for the arroyo family everyone
321,0,there's a manual process but it's taking ever on my outlook database pffff crappy msft product
322,1,fuuudge movie store is closed
323,1,alo is so sad and quiet and empty tonight
324,1,hahahaha it's not horrible if others were singing with i'm sure it could work i wish i could afford my own drum set
325,1,you never answered your dm i sent you i need your info
326,1,am trying to get through the pilot of the first season of friday night light oh gosh pas the tissue
327,1,aw where are you headed to i just cancelled my trip to aussie
328,1,i have cystic lacrimal infectection my eye and face are swollen and it hurt
329,1,i didn't think anyone caught that
330,0,oh nevermind i think this thing is unsalvageable
331,0,lyin in bed up faaaaar too early
332,1,sad that christian lacroix had to file bankruptcy
333,1,i dont feel good at all fuckkk
334,0,why did i agree to work a double shift
335,1,look like i'll never go to the zoo
336,1,ohh poor girl i'll email her i am relying on you being here in october mr
337,0,when will medhurst play again
338,1,bad time
339,1,aarrgghh fu k a hose ha leaked water all over the new floating floor
340,1,have to go to the dreaded dmv tomorrow
341,0,i'm a bit ben's thai ed out
342,0,english class working on interactive oral
343,1,thank you for the rec but that doesn't work
344,0,i'm sorry excited for tomorrow night karaoke getting anything special for bday
345,1,my puppy gizmo h s me haha he still growl me i always look back my long pruple scar on my fingie
346,1,i don't know how ima work out tomorrow wit my body dis sore ugh
347,0,in w o you
348,0,yeah plus it's just a little too far to walk to pinocchio's for sushi
349,1,i'm feeling this pressure in my head that always kick in just before a nasty headache i'm not looking forward to this
350,1,taylor swift and joe jonas looked really good together i'm kinda sad they broke up
351,1,i'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurt
352,1,lady across the way had a miscarriage say a prayer
353,1,god i just want to sleep
354,1,ohhhh thunderstorm boo why do they always have to make the power go out
355,1,i feel so deflated no more doggy
356,1,found my book starting a real paper bound journal tonight have an annoying zit above my lip make me look like i have herpes
357,1,ratt rocked nashville tonite one thing sucked no encore like in the 's they still have a fun show pearcy ha that hott bad boy look
358,1,is feeling bad just got bad news about my mum
359,1,but but i dun wanna
360,1,damn girl i'm so down but ya gotta let me know so i can get my kit together amp i got a flyer any next weekend i quot m down
361,1,dbl booooooo for being sick flippin blow bahaha i kno i dont have many friend on here either i feel so lame haha
362,0,thats what i wa thinking but the only time it's gonna be on is am
363,0,peep still here fun time gotta sleep tho work in the a m some cool hot chick here but none a cool a missing her
364,1,don't feel like working i think i tweet this too often
365,1,feel sick to my stomach and idkk whyy
366,1,vineri nimic special sau probabil un alt weekend pierdut
367,0,counting the hour of lost sunshine until the weekend
368,0,dude i just saw your sf pic look like your mini excursion wa pretty kick as didn't see any sun while i wa there tho
369,0,is home safely but hungry
370,1,um i wa thrown from van yesterday and had to be taken to the er
371,1,got to final table but went out third don't think i'll be getting my free seat
372,0,good morning work this morning gutted lol nevermind
373,1,i have to work in the morning while my friend get to party it up stupid bberry lite flashing red and i have no message
374,0,fb is boring and i wanna sing right now
375,1,the link doesn't work
376,0,hahaha i don't know anyone or anything about it except they have power lol i live in my own bubble
377,1,the humpalow um ya i think so cell is dying
378,1,last day at work sick to the bone
379,1,i feel like i'm on house arrest
380,0,love is like a war easy to begin hard to end fiuuhh
381,0,ur supposed to be in bk tho
382,1,did you know that there is a shortage of shell for crab to use on the beach due to beach comber it is very sad
383,0,oh no nighty night
384,0,must have new music i won't sleep until you give u chapter i might die first though hurry
385,1,my stupid tooooth hurt
386,0,love the song quot together quot that's quot his quot song for me well i think it's still is
387,0,ready to go school
388,1,my computer broken and i broke my laptop so i had to use the phone ahh still on he cause they fucked up my order
389,0,it's good isn't it our holiday chalet is out of sight but look v similar to those one going home again today
390,1,it's a sad economy just heard of another friend losing their job so sad but just a reminder that
391,1,i'm just starting to feel really panicky and anxious that something bad ha happened co it seems like it's been age
392,1,my dog ran awayyy
393,1,those suck so bad
394,1,i'm back top molar extracted swollen face all numb but no more toothache or sinus pain
395,0,just finished hour of texas life insurance ce tonight more hour to go
396,1,doe anyone know any good rap song i need to make a rap fun cd and i have no idea helllllpppp
397,0,i want to go to peru this summer ahhhhhhh hopefully yesyesyes i miss it over there
398,1,i'm awake anybody else awake wish i lived in the u since all the fun happens when i'm asleep
399,1,at charle's with the power out lol damn savemart lost power and we could not buy beer
400,1,heehee i love you i am tired
401,1,my mobile phone refuse to charge either the battery is broken or the chargerrr booooo
402,1,oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something
403,1,hmmm i thought u were sleeping too bad i can't see those video until tomorrow night
404,1,morning everyone sorry for going early last night had bad news felt totally crap today is a new day
405,1,how i wish my parent put me into a chinese school when i wa younger then it'll be so much easier for me to get a job
406,0,yeah physically moving too apparently we'll be reporting directly to mr hayward
407,0,airport and you didnt show up tonight homo
408,1,jealous it look like schindler's list in toronto
409,0,i want another tatt
410,0,what come a you are but erock just left bah d
411,0,so i need to make a lot of money tomorrow
412,1,being in your room make me sad
413,1,nearly fell asleep but wa jolted out of bed by a massive panic attack and now i'm not sure if i can sleep at all
414,0,for the gay i only made tonight
415,1,oh f ck i completely forgot about thirsty thursday oh my gaga this suck
416,1,if one people did any wrong the world blame all the people over there this is the great world which we are living in shit
417,0,nope they are all sleeping cuz they live on the east coast
418,0,i bet it cool down in sr huh it's not here i haven't stopped sweating since noon when dad and i were packing
419,1,eww dislike
420,1,tactical mistake going to the city library and buying milk who knew ouch ouch ouch maybe a good thing i didn't try for uni
421,0,decided trans frm relaxed natural hair but i wish my whole head looked like my root age of the instant gratification
422,1,sorry bout the cat
423,0,need to have an increase on her salary
424,1,my stomach feel like it's touching the ground i'm so full
425,0,pug just woke me from an incredible sleep
426,0,i can t wait to hear your new album i m sure will be amazing please just replay to me i love you so much
427,1,sooo much work so little time
428,1,missed iron chef
429,1,the d version suck
430,1,what a bad day
431,0,i know ridiculous we never got to hang out i love chicago and want to go shopping so a trip sound like fun
432,1,hate the net ayaw bumukas ng twitter
433,1,ugh my internet wa down
434,0,omg i didnt tweet all that much today sadness
435,1,is feeling so giddy and wanna go home
436,0,the week just wasnt the same without an adam lambert performance
437,0,the link doesn't work
438,1,up and packing it the last day of youth camp
439,0,gossip girl when are you coming back chaceeeeeee
440,0,smh hiphop nursery rhyme
441,1,somebody please save the polar bear
442,0,noooooooooooo i just look at a lot of picture lol lol
443,0,not really sleepy bored is the right word again not much work
444,1,it ha come to my attention from a yo friend that i've recently gained a ton of weight he didn't know it wa me
445,1,guess im staying home tonight no movie ing for me
446,1,went to the cd store to search for the cd but
447,1,reminds me of the weather a month ago it wa horrible i hope all is well hug
448,1,i miss my mom quot may angel lead you in quot
449,0,there's really no android twitter app of tweetie's calibre
450,1,on jacksonville beach walking in the cold as water but have to work in the morning ily lt ' ' gt
451,0,no it's not
452,1,i feel the same way every day
453,1,can't sleep suck the one day i have to sleep in and i have to get up and go shopping with mom ugh
454,0,well i just got home and it not on till tmw at p but with comcast it on right now but i didnt miss it
455,1,sleppytime really missing my godfather right now love you wayne
456,1,so have a headache right now and it suck
457,1,hope ya sleepin well guy still here
458,0,i should be finished but i'm not color drawing here i come
459,1,lakers baby lakers i'll miss the game tmwr i have to work you'll have to keep me posted please
460,1,comfort food of the day pan mee though it didnt taste any good
461,1,damn being drunk and hot suck
462,1,miss my baby
463,1,is not sleeping because he ha paperwork to do
464,1,showered in ice cold water sweating now mean one thing i'm sick
465,1,midnight cry wish the person i wanted wanted me right now
466,0,i'ma need you to follow me real quick cause i can't dm you
467,1,i'm poorly and can't sleep
468,1,went to pole class feeling discouraged i am hopeless when it cone to dancing or sexy move or spreading my leg
469,1,and these poor unfortunate soul don't appear to have any pant at all
470,1,if i told you how often i wash my hair you would never speak to me again
471,1,look like another sleepless night dedicated to homework sorry in advance m chapman
472,1,why do u lot mock me
473,1,didnt say goodnight to you
474,1,i am not a pussy damnit sending you an e mail right now btw
475,1,ha work tom
476,0,in the hongkong international airport ha to wait for hour for our next flight to cebu
477,0,can't sleep and nothing on tv
478,0,the pic i just uploaded are the baby pic of my cat missy is now an adult and a pretty little kitty but batty is in kitten heaven now
479,0,oh you've been superseeded not good enough
480,1,today we say goodbye to the second good friend in a week from dmp but at least the sun is shinning and i'm definately not working this pm
481,1,fuckin'm transtelecom
482,0,is really really bored i guess i will go to bed
483,1,i met a stranger just min ago he wa stalking me at the store
484,0,tee we beefin what wa u supposed to do before leavin
485,1,sometimes the thing you say hurt the one you love most unintentionally and you can never ever take it back or fix it
486,1,that suck
487,0,iiii know and mean
488,1,having fever dont feel to work
489,1,taking horse pill hoping i can get some sleep tonight
490,0,pgpm student from where i myself wa a pgpm student about year back i wish i could stay one
491,1,missing day can't pas quick enough
492,1,hey that's my school i hate that place
493,1,working from home today my back is killing me doctor and then physio after later today
494,0,back to work with no distraction
495,0,demi just say hi to me and it s enough just replay to me please love you so much
496,0,awwww i never noticed this
497,0,that suck well state start tomorrow so im headin bed nitey nite
498,1,look like it's going to be too nice to work today how annoying a i have no choice
499,0,did you guy keep a set list i forgot to ask for one xx
500,0,first impression of silverlight sadly based on what i saw today it's quite problematic
501,1,is desperatly hoping my dad take me to vanessa's game
502,1,hi fuck your job
503,1,missing you all deeply
504,0,the time you go to bed i have to get up to go to work
505,0,big now vanessa is going to be in september it going by so fast it hard cuz im workin so much i miss out on alot
506,1,sniff sniff take care ravel hopefully we'll be chatting again soon in the mean time i'll hella miss you
507,0,lucky now i want to teleport
508,1,somebody please save the polar bear
509,1,my nose is runny my head is pounding and teeth hurt like a bitch man i feel awful
510,1,i don't want her to leave
511,0,headin home refreshed my mind and soul justa lil bit bac to reality
512,0,good lord just seen the agency work for our upcoming open day money for jam
513,1,working but it's fridaaaayyyyy
514,1,at the grove for 'drag me to hell ' i hope that it doesn't suck
515,1,so i feel like shit for saying happy belated birfdayy i'm only a month late
516,1,lmao thats sad kinda discourages me rom goin if the shit's wack
517,0,got home from work and just finished cleaning now i need to eat dinner and don't know what i want ugh oh well might not eat
518,1,i wish i wa there
519,1,i miss my little batty she wa only month old when she got sick she wa always so fun and full of life lt even at the very end
520,0,fc is finally up again it's about time i hate that this keep happening
521,0,seriously bored without anyone to talk to but not tired enough for sleep
522,1,morning again i hate morning so offensive
523,0,still give your computer a break omg
524,1,bed bed bed do you never answer text anymore i thought of you the other day and sent one but never heard back sad day
525,0,where u at
526,1,waah we're no longer your peep
527,1,lol wow dawg doesn't sound like you're playing i feel bad now haha
528,0,extremly deep
529,0,my little foster kitten are getting big chubba and winston are going b missed when they get amazing home
530,0,one week till exam block
531,0,i'm not at home with my cat right now
532,1,hoping i didn't fail english that would just be sad
533,1,know what would be great for my shoulder to stop hurting so i can sleep normal again i just want need a few solid hour of good sleep
534,0,leno's last show wa tonight i like him better than conan
